委托日期,id,买卖方向,委托数量,委托日期,开平仓,证券代码
2020-06-02 09:36:03.000,1,卖,100,2020-06-02 09:36:03.000,开仓,600859
2020-06-02 09:36:09.000,2,买,100,2020-06-02 09:36:09.000,开仓,600338
2020-06-02 09:36:12.000,3,买,100,2020-06-02 09:36:12.000,开仓,002387
2020-06-02 09:36:12.000,4,卖,100,2020-06-02 09:36:12.000,开仓,300496
2020-06-02 09:36:15.000,5,买,100,2020-06-02 09:36:15.000,开仓,002387
2020-06-02 09:36:15.000,6,买,100,2020-06-02 09:36:15.000,开仓,300253
2020-06-02 09:36:15.000,7,买,100,2020-06-02 09:36:15.000,开仓,002127
2020-06-02 09:36:18.000,8,买,100,2020-06-02 09:36:18.000,开仓,002387
2020-06-02 09:36:18.000,9,卖,100,2020-06-02 09:36:18.000,开仓,002019
2020-06-02 09:36:21.000,10,买,100,2020-06-02 09:36:21.000,开仓,002387
2020-06-02 09:36:21.000,11,买,100,2020-06-02 09:36:21.000,开仓,300253
2020-06-02 09:36:21.000,12,卖,100,2020-06-02 09:36:21.000,开仓,300496
2020-06-02 09:36:24.000,13,买,100,2020-06-02 09:36:24.000,开仓,002387
2020-06-02 09:36:24.000,14,买,100,2020-06-02 09:36:24.000,开仓,002920
2020-06-02 09:36:24.000,15,卖,100,2020-06-02 09:36:24.000,开仓,600338
2020-06-02 09:36:24.000,16,卖,100,2020-06-02 09:36:24.000,平仓,600338
2020-06-02 09:36:27.000,17,买,100,2020-06-02 09:36:27.000,开仓,300253
2020-06-02 09:36:30.000,18,买,100,2020-06-02 09:36:30.000,开仓,300253
2020-06-02 09:36:30.000,19,买,100,2020-06-02 09:36:30.000,开仓,300459
2020-06-02 09:36:39.000,20,买,100,2020-06-02 09:36:39.000,开仓,300253
2020-06-02 09:36:39.000,21,买,100,2020-06-02 09:36:39.000,平仓,300496
2020-06-02 09:36:42.000,22,买,100,2020-06-02 09:36:42.000,开仓,002127
2020-06-02 09:36:42.000,23,卖,100,2020-06-02 09:36:42.000,开仓,600859
2020-06-02 09:36:42.000,24,买,100,2020-06-02 09:36:42.000,平仓,300496
2020-06-02 09:36:45.000,25,买,100,2020-06-02 09:36:45.000,开仓,600338
2020-06-02 09:36:45.000,26,买,100,2020-06-02 09:36:45.000,平仓,600338
2020-06-02 09:36:45.000,27,买,100,2020-06-02 09:36:45.000,平仓,600859
2020-06-02 09:36:48.000,28,买,100,2020-06-02 09:36:48.000,开仓,002387
2020-06-02 09:36:48.000,29,买,100,2020-06-02 09:36:48.000,开仓,300496
2020-06-02 09:36:48.000,30,买,100,2020-06-02 09:36:48.000,平仓,300496
2020-06-02 09:36:51.000,31,买,100,2020-06-02 09:36:51.000,开仓,002387
