,bps,买成交数量,买成交额,卖成交数量,卖成交额
601717,-241.93807580108916,19700.0,105787.40000000001,19700.0,103228.0
601718,-88.7573964497046,40800.0,137904.0,40800.0,136680.0
601799,289.5515927487202,4440.0,476368.3,4440.0,490161.62000000005
601801,-22.48521324602293,22740.0,115542.6,22740.0,115282.80000000002
601811,15.367722780827986,4150.0,43988.30000000001,4150.0,44055.9
601860,-95.75786990977053,34200.0,136396.1,34200.0,135090.0
601865,-95.03796238608642,7610.0,104168.90000000001,7610.0,103178.90000000001
601866,-157.06806282722474,73100.0,139621.0,73100.0,137428.0
601869,-24.77199995986279,5543.0,169396.9,5543.0,168977.2699999999
601880,-228.5714285714291,54700.0,95725.0,54700.0,93537.0
601928,16.77443610464735,30850.0,208531.59999999998,30850.0,208881.39999999997
601958,5.532729544555082,29615.0,180471.5,29615.0,180571.35
601966,46.34401939424215,9000.0,175103.5,9000.0,175914.99999999997
601975,-199.99999999999795,63600.0,159000.0,63600.0,155820.00000000003
603000,34.42478140456062,23930.0,468673.9999999999,23930.0,470287.4
603025,-35.98388310395384,11150.0,82398.0,11150.0,82101.50000000004
603056,13.212806224602858,12970.0,182398.8,12970.0,182639.8
603077,-74.07407407407418,96200.0,129870.0,96200.0,128908.0
603198,116.7618273608273,7350.0,145192.99999999997,7350.0,146888.30000000002
603225,-14.107521226340847,7180.0,73010.70000000001,7180.0,72907.70000000001
603228,138.15985340975612,5058.0,168011.17999999993,5058.0,170332.41999999995
603233,241.899432122763,6600.0,521204.20000000007,6600.0,533812.1
603256,-127.31406650718924,1550.0,18560.4,1550.0,18324.1
603317,359.47130683771536,1828.0,84208.39,1828.0,87235.44
603328,-78.21280702210665,6800.0,69221.40000000001,6800.0,68680.0
603338,151.80733950020507,5750.0,525139.2999999999,5750.0,533111.2999999999
603355,-52.427899203137954,3860.0,90467.1,3860.0,89992.79999999999
603377,-4.718377221393233,10720.0,186504.80000000002,10720.0,186416.79999999996
603379,-145.45691992277733,2805.0,63554.90000000001,2805.0,62630.45
603444,377.6677900375658,792.0,316588.81999999995,792.0,328545.36
603486,-101.77211160527389,5700.0,167128.3,5700.0,165427.40000000002
603515,73.5632792829355,3200.0,81546.12,3200.0,82145.99999999997
603517,164.1295519302477,16700.0,1094426.9199999997,16700.0,1112389.6999999997
603556,-6.267740433560931,7140.0,107582.62999999999,7140.0,107515.20000000001
603568,70.58354078080865,11180.0,324584.17000000004,11180.0,326875.2
603605,271.4175593788193,1400.0,215737.7,1400.0,221593.19999999998
603650,-5.6022408963585235,3200.0,57120.00000000001,3200.0,57088.00000000001
603659,9.58701009793117,9410.0,845727.7000000001,9410.0,846538.5
603707,-119.66094088181501,5660.0,345367.5,5660.0,341234.8
603712,-109.79423143677502,4630.0,138568.30000000002,4630.0,137046.89999999997
