,bps,买成交数量,买成交额,卖成交数量,卖成交额
300558,206.4188825348623,3830.0,392769.3,3830.0,400876.8
300595,130.35228433774472,7001.0,382237.26,7001.0,387219.81000000006
300618,14.087623881418043,7039.0,359925.85000000003,7039.0,360432.89999999997
300630,75.45066041969139,4770.0,354996.23,4770.0,357674.7
600006,49.2610837438412,13900.0,56434.0,13900.0,56711.99999999999
600008,-32.67973856209139,60600.0,185436.0,60600.0,184830.0
600017,-270.27027027026975,32000.0,82880.0,32000.0,80640.0
600021,3.237330222138901,25930.0,193709.0,25930.0,193771.71000000005
600022,-157.48031496062964,102100.0,129667.0,102100.0,127625.0
600026,-118.28314465188838,25100.0,169166.96000000002,25100.0,167166.0
600039,-49.261083743838974,39500.0,160369.99999999994,39500.0,159580.0
600053,-86.87821746417579,3660.0,97234.96000000002,3660.0,96390.19999999998
600056,-44.45290261781531,10090.0,137565.82,10090.0,136954.30000000002
600058,-23.453544618704527,23920.0,147440.39999999997,23920.0,147094.6
600060,106.38484860157726,20130.0,267397.10000000003,20130.0,270241.8000000001
600062,-54.79283102384214,10380.0,131349.30000000002,10380.0,130629.60000000002
600064,79.18243987541373,15220.0,143069.60000000003,15220.0,144202.46
600073,-146.59685863874117,12000.0,114600.0,12000.0,112920.00000000003
600079,100.01734548849672,26190.0,602058.57,26190.0,608080.2
600094,-14.97120000166885,30480.0,191701.4,30480.0,191414.4
600120,42.373919220124456,20500.0,131462.94,20500.0,132020.0
600125,-53.19148936170026,17100.0,96444.0,17100.0,95931.00000000001
600126,314.16756071352745,50850.0,477090.95,50850.0,492079.6
600132,183.4187898002937,4350.0,258572.2,4350.0,263314.89999999997
600138,237.62376237623783,10200.0,103020.0,10200.0,105468.0
600141,-95.75022634365938,9500.0,87477.6,9500.0,86640.0
600143,83.69438839859188,33640.0,433414.95999999996,33640.0,437042.4
600153,5.617707887923817,62260.0,550046.3999999999,62260.0,550355.4000000003
600155,-68.25388355315431,22660.0,266109.39999999997,22660.0,264293.1
600158,-14.91992056181779,30130.0,257307.0,30130.0,256923.10000000003
600160,-100.27893070339799,24100.0,166026.9,24100.0,164362.0
600161,26.148410985087356,13760.0,531122.14,13760.0,532510.94
600166,-55.55555555555536,85400.0,153720.0,85400.0,152866.0
600167,92.50721596074652,16400.0,246294.3,16400.0,248572.7000000001
600171,28.34902589537336,27600.0,489970.98,27600.0,491360.0000000002
600195,50.539521372612306,13230.0,195084.95,13230.0,196070.9
600201,31.637637364216875,38995.0,949296.5499999998,38995.0,952299.9
600216,75.9358225183826,18050.0,296031.56,18050.0,298279.5
600256,-148.14814814814946,74800.0,201960.0,74800.0,198967.99999999997
600258,163.67586310809924,18000.0,296201.89,18000.0,301050.00000000006
600259,65.15838618450509,9050.0,298795.00000000006,9050.0,300741.89999999997
600260,-47.60266116081713,15540.0,219693.6,15540.0,218647.8
600266,-58.54325416003947,61468.0,386510.8,61468.0,384248.04
600273,-79.78905085742505,19530.0,168783.81,19530.0,167437.1
600277,-85.16497096264897,47820.0,165889.8,47820.0,164477.00000000003
600282,-88.80994671403353,109400.0,307961.0,109400.0,305225.99999999994
600291,-158.92115900573378,12590.0,105941.84,12590.0,104258.2
600298,298.9535056543735,9782.0,395350.44000000006,9782.0,407169.57999999996
600307,-194.8051948051943,54800.0,84392.0,54800.0,82748.0
600312,-1.6224025880740012,31690.0,247164.3,31690.0,247124.20000000004
600315,602.1034094948429,6330.0,237549.56,6330.0,251852.49999999997
600316,-44.69964327342923,7800.0,109582.53,7800.0,109092.70000000001
600325,-201.68844872857306,31000.0,212924.44,31000.0,208630.0
600335,-144.03915804149236,8000.0,39593.4,8000.0,39023.1
600338,62.88512675981073,7670.0,67201.9,7670.0,67624.5
600339,-127.6595744680853,32100.0,75435.0,32100.0,74472.0
600348,-70.75471698113178,22500.0,95400.0,22500.0,94725.0
600350,53.977229773658486,23600.0,132278.0,23600.0,132992.0
600373,-72.33698814737566,13230.0,156724.8,13230.0,155591.1
600376,-94.01921791366786,23700.0,148573.87999999998,23700.0,147177.00000000006
600380,-30.864695012755572,17820.0,241959.3,17820.0,241212.5
600388,4.363914445109085,24510.0,216548.7,24510.0,216643.19999999995
600392,39.23165287694097,22300.0,171927.5,22300.0,172602.00000000003
600409,29.505298324969953,22400.0,104523.6,22400.0,104832.0
600410,112.99435028248483,19800.0,280368.0,19800.0,283536.0
600418,-10.460251046023883,23700.0,226571.99999999997,23700.0,226335.0
600426,20.00960976845212,22950.0,418948.7,22950.0,419787.0
600428,-84.40214886819564,21000.0,64666.600000000006,21000.0,64120.8
600435,-64.93090790217425,37400.0,293666.0,37400.0,291759.2
600446,-8.563177750654516,15448.0,273496.6,15448.0,273262.4
600460,-128.32147886983392,20750.0,310291.0,20750.0,306309.30000000005
600466,-298.1359499502845,28000.0,149208.44,28000.0,144760.0
600478,-75.949367088608,20000.0,79000.0,20000.0,78400.0
600486,-59.01027542302817,5891.0,514256.2,5891.0,511221.56
600497,-30.7550497664566,112000.0,394894.5,112000.0,393680.0
600500,-11.88565456416657,29392.0,150029.6,29392.0,149851.28
600507,-209.59103359950993,19400.0,101256.24,19400.0,99134.0
600511,28.247626072126497,9970.0,320239.30000000005,9970.0,321143.89999999997
600515,125.04992307710516,57800.0,338520.8,57800.0,342754.0
600521,43.95483340538853,14520.0,421205.1,14520.0,423056.5
600528,15.268427990964284,39610.0,373993.97,39610.0,374564.99999999994
600529,92.0705245167297,12620.0,571409.8,12620.0,576670.8
600535,54.88631966906521,16700.0,246309.1,16700.0,247660.99999999997
600545,-10.62031645651107,24810.0,124478.40000000001,24810.0,124346.2
600549,19.577678185216385,31470.0,386307.3,31470.0,387063.6
600557,-32.444094096168996,7980.0,108463.49999999997,7980.0,108111.59999999999
600563,8.226211445485632,3010.0,160098.00000000006,3010.0,160229.7
600565,34.843205574910385,27300.0,78351.0,27300.0,78623.99999999999
600566,-3.9064440065017525,7112.0,158660.91999999998,7112.0,158598.93999999997
600567,-61.00042490647106,59900.0,178392.2,59900.0,177304.0
600572,-64.77870812837017,47508.0,256257.04,47508.0,254597.04
600575,-22.371364653241965,55400.0,123819.0,55400.0,123542.00000000003
600580,154.64309065752025,28000.0,335708.5,28000.0,340900.0
600582,-33.89830508474745,29100.0,85845.0,29100.0,85553.99999999999
600597,507.04252813803976,11490.0,180533.18,11490.0,189686.97999999998
600598,47.80753269868265,13820.0,210803.6,13820.0,211811.4
