,000008,600167,600195,600216
2020-06-02 09:37:36.000,3.01,15.22,14.86,16.63
2020-06-02 09:37:39.000,3.01,15.22,14.86,16.63
2020-06-02 09:37:42.000,3.01,15.22,14.86,16.63
2020-06-02 09:37:45.000,3.01,15.22,14.86,16.63
2020-06-02 09:37:48.000,3.01,15.22,14.86,16.63
2020-06-02 09:37:51.000,3.01,15.22,14.86,16.63
2020-06-02 09:37:54.000,3.01,15.22,14.86,16.63
2020-06-02 09:37:57.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:00.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:03.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:06.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:09.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:12.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:15.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:18.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:21.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:24.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:27.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:30.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:33.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:36.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:39.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:42.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:45.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:48.000,3.01,15.22,14.86,16.63
2020-06-02 09:38:51.000,3.01,15.19,14.86,16.63
2020-06-02 09:38:54.000,3.01,15.23,14.86,16.63
2020-06-02 09:38:57.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:00.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:03.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:06.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:09.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:12.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:15.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:18.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:21.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:24.000,3.01,15.24,14.86,16.63
