委托日期,id,买卖方向,委托数量,委托日期,开平仓,证券代码
2020-06-03 09:36:00.000,1,买,100,2020-06-03 09:36:00.000,开仓,300253
2020-06-03 09:36:00.000,2,卖,100,2020-06-03 09:36:00.000,开仓,002127
2020-06-03 09:36:03.000,3,买,100,2020-06-03 09:36:03.000,开仓,002387
2020-06-03 09:36:03.000,4,买,100,2020-06-03 09:36:03.000,开仓,002920
2020-06-03 09:36:03.000,5,买,100,2020-06-03 09:36:03.000,开仓,300253
2020-06-03 09:36:03.000,6,卖,100,2020-06-03 09:36:03.000,开仓,600859
2020-06-03 09:36:03.000,7,买,100,2020-06-03 09:36:03.000,开仓,300113
2020-06-03 09:36:09.000,8,买,100,2020-06-03 09:36:09.000,开仓,300253
2020-06-03 09:36:09.000,9,卖,100,2020-06-03 09:36:09.000,开仓,600859
2020-06-03 09:36:12.000,10,买,100,2020-06-03 09:36:12.000,开仓,300113
2020-06-03 09:36:15.000,11,买,100,2020-06-03 09:36:15.000,开仓,002920
2020-06-03 09:36:15.000,12,买,100,2020-06-03 09:36:15.000,开仓,600884
2020-06-03 09:36:15.000,13,卖,100,2020-06-03 09:36:15.000,开仓,002127
2020-06-03 09:36:15.000,14,买,100,2020-06-03 09:36:15.000,开仓,300113
2020-06-03 09:36:18.000,15,卖,100,2020-06-03 09:36:18.000,开仓,600859
2020-06-03 09:36:21.000,16,买,100,2020-06-03 09:36:21.000,开仓,300113
2020-06-03 09:36:24.000,17,买,100,2020-06-03 09:36:24.000,开仓,300113
2020-06-03 09:36:27.000,18,卖,100,2020-06-03 09:36:27.000,平仓,300253
2020-06-03 09:36:27.000,19,买,100,2020-06-03 09:36:27.000,开仓,002127
2020-06-03 09:36:27.000,20,买,100,2020-06-03 09:36:27.000,平仓,002127
2020-06-03 09:36:27.000,21,买,100,2020-06-03 09:36:27.000,平仓,600859
2020-06-03 09:36:33.000,22,买,100,2020-06-03 09:36:33.000,平仓,002127
2020-06-03 09:36:36.000,23,买,100,2020-06-03 09:36:36.000,开仓,300113
2020-06-03 09:36:42.000,24,买,100,2020-06-03 09:36:42.000,开仓,600338
2020-06-03 09:36:42.000,25,买,100,2020-06-03 09:36:42.000,开仓,300496
2020-06-03 09:36:51.000,26,卖,100,2020-06-03 09:36:51.000,开仓,600859
2020-06-03 09:36:54.000,27,买,100,2020-06-03 09:36:54.000,开仓,300113
2020-06-03 09:36:57.000,28,买,100,2020-06-03 09:36:57.000,开仓,603650
2020-06-03 09:36:57.000,29,买,100,2020-06-03 09:36:57.000,开仓,300113
2020-06-03 09:37:00.000,30,买,100,2020-06-03 09:37:00.000,开仓,002127
2020-06-03 09:37:00.000,31,买,100,2020-06-03 09:37:00.000,平仓,002127
2020-06-03 09:37:00.000,32,买,100,2020-06-03 09:37:00.000,开仓,300113
2020-06-03 09:37:03.000,33,买,100,2020-06-03 09:37:03.000,开仓,002127
